id,task_id,node_id,original_reported_date,node_age,node_type,task_type,outcome
39,TASK472,NODE411,2020-12-15 00:00:00,3,TYPE1,TASK5,SUCCESS
40,TASK4541,NODE261,2020-12-24 00:00:00,19,TYPE4,TASK8,SUCCESS
41,TASK3445,NODE211,2020-12-20 00:00:00,6,TYPE4,TASK5,SUCCESS
42,TASK8947,NODE108,2020-12-18 00:00:00,8,TYPE3,TASK3,SUCCESS
43,TASK781,NODE260,2020-12-19 00:00:00,15,TYPE1,TASK8,SUCCESS
44,TASK6580,NODE90,2020-12-21 00:00:00,13,TYPE1,TASK9,SUCCESS
45,TASK5102,NODE393,2020-12-23 00:00:00,16,TYPE4,TASK7,SUCCESS
46,TASK5096,NODE236,2020-12-09 00:00:00,7,TYPE5,TASK3,SUCCESS
47,TASK4579,NODE20,2020-12-15 00:00:00,17,TYPE2,TASK1,SUCCESS
48,TASK3392,NODE115,2020-12-21 00:00:00,11,TYPE3,TASK5,SUCCESS
49,TASK2687,NODE108,2020-12-20 00:00:00,5,TYPE3,TASK5,SUCCESS
50,TASK2011,NODE161,2020-12-17 00:00:00,11,TYPE2,TASK1,SUCCESS
51,TASK1622,NODE192,2020-12-22 00:00:00,14,TYPE4,TASK1,SUCCESS
52,TASK1476,NODE260,2020-12-19 00:00:00,10,TYPE2,TASK4,SUCCESS
53,TASK1260,NODE213,2020-12-12 00:00:00,5,TYPE4,TASK5,SUCCESS
54,TASK8084,NODE70,2020-12-15 00:00:00,15,TYPE4,TASK2,SUCCESS
55,TASK7011,NODE110,2020-12-18 00:00:00,0,TYPE1,TASK7,SUCCESS
56,TASK6046,NODE90,2020-12-22 00:00:00,2,TYPE5,TASK5,SUCCESS
57,TASK5888,NODE371,2020-12-20 00:00:00,6,TYPE1,TASK8,SUCCESS
58,TASK4804,NODE19,2020-12-23 00:00:00,1,TYPE1,TASK1,SUCCESS
59,TASK4708,NODE95,2020-12-10 00:00:00,14,TYPE3,TASK1,SUCCESS
60,TASK3272,NODE247,2020-12-13 00:00:00,19,TYPE4,TASK7,SUCCESS
61,TASK1659,NODE246,2020-12-23 00:00:00,5,TYPE2,TASK1,SUCCESS
62,TASK1373,NODE146,2020-12-24 00:00:00,7,TYPE5,TASK1,SUCCESS
63,TASK7654,NODE392,2020-12-10 00:00:00,4,TYPE5,TASK4,SUCCESS
64,TASK6997,NODE31,2020-12-13 00:00:00,15,TYPE3,TASK8,SUCCESS
65,TASK6792,NODE150,2020-12-09 00:00:00,1,TYPE3,TASK9,SUCCESS
66,TASK3930,NODE97,2020-12-24 00:00:00,17,TYPE4,TASK5,SUCCESS
67,TASK294,NODE123,2020-12-17 00:00:00,12,TYPE4,TASK5,SUCCESS
68,TASK2881,NODE335,2020-12-25 00:00:00,17,TYPE5,TASK1,SUCCESS
69,TASK2693,NODE449,2020-12-24 00:00:00,18,TYPE4,TASK3,SUCCESS
70,TASK2647,NODE492,2020-12-02 00:00:00,14,TYPE1,TASK6,SUCCESS
71,TASK2555,NODE375,2020-12-24 00:00:00,15,TYPE1,TASK8,SUCCESS
72,TASK2464,NODE337,2020-12-23 00:00:00,4,TYPE4,TASK8,SUCCESS
73,TASK2008,NODE399,2020-12-21 00:00:00,19,TYPE5,TASK7,SUCCESS
74,TASK9991,NODE466,2020-12-21 00:00:00,11,TYPE1,TASK4,SUCCESS
75,TASK9910,NODE495,2020-12-21 00:00:00,13,TYPE5,TASK9,SUCCESS
76,TASK8804,NODE71,2020-12-17 00:00:00,14,TYPE2,TASK6,SUCCESS
77,TASK8626,NODE465,2020-12-18 00:00:00,18,TYPE3,TASK1,SUCCESS
78,TASK8362,NODE160,2020-12-23 00:00:00,8,TYPE4,TASK3,SUCCESS
79,TASK826,NODE408,2020-12-16 00:00:00,18,TYPE4,TASK9,SUCCESS
80,TASK8074,NODE221,2020-12-20 00:00:00,1,TYPE2,TASK8,SUCCESS
81,TASK800,NODE3,2020-12-24 00:00:00,0,TYPE3,TASK3,SUCCESS
82,TASK7994,NODE227,2020-12-08 00:00:00,10,TYPE1,TASK7,SUCCESS
83,TASK7767,NODE457,2020-12-20 00:00:00,8,TYPE3,TASK7,SUCCESS
84,TASK5278,NODE157,2020-12-22 00:00:00,16,TYPE1,TASK5,SUCCESS
85,TASK460,NODE482,2020-12-21 00:00:00,8,TYPE2,TASK3,SUCCESS
86,TASK4016,NODE272,2020-12-24 00:00:00,7,TYPE5,TASK6,SUCCESS
87,TASK3692,NODE154,2020-12-21 00:00:00,9,TYPE1,TASK7,SUCCESS
88,TASK3617,NODE474,2020-12-15 00:00:00,15,TYPE2,TASK2,SUCCESS
89,TASK2764,NODE50,2020-12-24 00:00:00,11,TYPE1,TASK7,SUCCESS
90,TASK21,NODE20,2020-12-17 00:00:00,9,TYPE3,TASK2,SUCCESS
91,TASK1176,NODE162,2020-12-15 00:00:00,12,TYPE1,TASK3,SUCCESS
92,TASK9290,NODE82,2020-12-19 00:00:00,19,TYPE4,TASK1,SUCCESS
93,TASK9119,NODE18,2020-12-20 00:00:00,4,TYPE1,TASK9,SUCCESS
94,TASK8981,NODE116,2020-12-22 00:00:00,11,TYPE3,TASK2,SUCCESS
95,TASK7922,NODE376,2020-12-20 00:00:00,19,TYPE2,TASK2,SUCCESS
96,TASK6702,NODE495,2020-12-24 00:00:00,14,TYPE4,TASK6,SUCCESS
97,TASK3016,NODE211,2020-12-05 00:00:00,10,TYPE2,TASK8,SUCCESS
98,TASK2615,NODE216,2020-12-25 00:00:00,3,TYPE4,TASK5,SUCCESS
99,TASK1842,NODE280,2020-12-15 00:00:00,11,TYPE4,TASK2,SUCCESS
100,TASK1278,NODE265,2020-12-19 00:00:00,19,TYPE1,TASK1,SUCCESS
101,TASK1250,NODE74,2020-12-15 00:00:00,20,TYPE2,TASK8,SUCCESS
102,TASK9713,NODE335,2020-12-22 00:00:00,15,TYPE1,TASK5,SUCCESS
103,TASK9175,NODE61,2020-12-25 00:00:00,10,TYPE4,TASK4,SUCCESS
104,TASK9120,NODE454,2020-12-18 00:00:00,5,TYPE5,TASK5,SUCCESS
105,TASK8379,NODE35,2020-12-14 00:00:00,7,TYPE2,TASK4,SUCCESS
106,TASK8207,NODE370,2020-12-23 00:00:00,12,TYPE4,TASK2,SUCCESS
107,TASK7123,NODE111,2020-12-19 00:00:00,4,TYPE4,TASK5,SUCCESS
108,TASK7024,NODE33,2020-12-18 00:00:00,16,TYPE5,TASK9,SUCCESS
109,TASK6267,NODE251,2020-12-17 00:00:00,1,TYPE1,TASK9,SUCCESS
110,TASK4896,NODE189,2020-12-17 00:00:00,13,TYPE2,TASK8,SUCCESS
111,TASK366,NODE297,2020-12-18 00:00:00,18,TYPE1,TASK6,SUCCESS
112,TASK3561,NODE436,2020-12-20 00:00:00,15,TYPE4,TASK9,SUCCESS
113,TASK3366,NODE493,2020-12-21 00:00:00,18,TYPE3,TASK9,SUCCESS
114,TASK2657,NODE430,2020-12-21 00:00:00,13,TYPE5,TASK9,SUCCESS
115,TASK177,NODE340,2020-12-09 00:00:00,11,TYPE5,TASK5,SUCCESS
116,TASK9913,NODE249,2020-12-24 00:00:00,19,TYPE4,TASK2,SUCCESS
117,TASK964,NODE415,2020-12-15 00:00:00,20,TYPE3,TASK8,SUCCESS
118,TASK9152,NODE340,2020-12-23 00:00:00,14,TYPE2,TASK7,SUCCESS
119,TASK8935,NODE218,2020-12-21 00:00:00,4,TYPE5,TASK8,SUCCESS
120,TASK8919,NODE53,2020-12-25 00:00:00,19,TYPE3,TASK5,SUCCESS
121,TASK8022,NODE444,2020-12-10 00:00:00,5,TYPE5,TASK9,SUCCESS
122,TASK7536,NODE20,2020-12-04 00:00:00,19,TYPE4,TASK1,SUCCESS
123,TASK7524,NODE237,2020-12-25 00:00:00,15,TYPE3,TASK4,SUCCESS
124,TASK7295,NODE108,2020-12-24 00:00:00,20,TYPE2,TASK3,SUCCESS
125,TASK6332,NODE116,2020-12-21 00:00:00,9,TYPE1,TASK2,SUCCESS
126,TASK6129,NODE346,2020-12-25 00:00:00,5,TYPE5,TASK9,SUCCESS
127,TASK5890,NODE55,2020-12-12 00:00:00,7,TYPE2,TASK4,SUCCESS
128,TASK381,NODE51,2020-12-14 00:00:00,14,TYPE2,TASK9,SUCCESS
129,TASK3457,NODE75,2020-12-25 00:00:00,0,TYPE5,TASK6,SUCCESS
130,TASK3220,NODE305,2020-12-25 00:00:00,17,TYPE3,TASK2,SUCCESS
131,TASK2714,NODE352,2020-12-22 00:00:00,5,TYPE2,TASK3,SUCCESS
132,TASK1076,NODE334,2020-12-07 00:00:00,16,TYPE3,TASK4,SUCCESS
133,TASK8871,NODE378,2020-12-25 00:00:00,5,TYPE1,TASK7,SUCCESS
134,TASK864,NODE370,2020-12-24 00:00:00,7,TYPE5,TASK9,SUCCESS
135,TASK850,NODE3,2020-12-19 00:00:00,2,TYPE4,TASK5,SUCCESS
136,TASK7590,NODE122,2020-12-18 00:00:00,13,TYPE1,TASK3,SUCCESS
137,TASK6440,NODE285,2020-12-20 00:00:00,1,TYPE5,TASK6,SUCCESS
138,TASK6177,NODE303,2020-12-19 00:00:00,11,TYPE1,TASK4,SUCCESS
139,TASK4698,NODE306,2020-12-23 00:00:00,18,TYPE2,TASK6,SUCCESS
140,TASK3826,NODE73,2020-12-25 00:00:00,2,TYPE4,TASK6,SUCCESS
141,TASK3754,NODE12,2020-12-09 00:00:00,14,TYPE5,TASK2,SUCCESS
142,TASK2992,NODE204,2020-12-15 00:00:00,17,TYPE5,TASK3,SUCCESS
143,TASK2600,NODE329,2020-12-23 00:00:00,1,TYPE3,TASK5,SUCCESS
144,TASK2234,NODE71,2020-12-23 00:00:00,20,TYPE3,TASK4,SUCCESS
145,TASK2012,NODE415,2020-12-24 00:00:00,19,TYPE2,TASK1,SUCCESS
146,TASK1862,NODE414,2020-12-16 00:00:00,14,TYPE3,TASK2,SUCCESS
147,TASK1588,NODE447,2020-12-21 00:00:00,5,TYPE4,TASK3,SUCCESS
148,TASK7953,NODE169,2020-12-24 00:00:00,14,TYPE5,TASK5,SUCCESS
149,TASK7335,NODE26,2020-12-23 00:00:00,6,TYPE5,TASK7,SUCCESS
150,TASK6421,NODE253,2020-12-21 00:00:00,13,TYPE2,TASK1,SUCCESS
151,TASK6141,NODE239,2020-12-25 00:00:00,13,TYPE5,TASK1,SUCCESS
152,TASK4031,NODE236,2020-12-25 00:00:00,13,TYPE3,TASK9,SUCCESS
153,TASK3958,NODE360,2020-12-17 00:00:00,15,TYPE3,TASK7,SUCCESS
154,TASK3688,NODE331,2020-12-24 00:00:00,9,TYPE4,TASK5,SUCCESS
155,TASK2942,NODE294,2020-12-23 00:00:00,20,TYPE4,TASK4,SUCCESS
156,TASK2847,NODE237,2020-12-13 00:00:00,9,TYPE1,TASK3,SUCCESS
157,TASK1831,NODE155,2020-12-14 00:00:00,6,TYPE5,TASK1,SUCCESS
158,TASK1549,NODE210,2020-12-14 00:00:00,9,TYPE1,TASK6,SUCCESS
159,TASK1362,NODE287,2020-12-20 00:00:00,5,TYPE3,TASK3,SUCCESS
160,TASK1314,NODE25,2020-12-04 00:00:00,10,TYPE2,TASK8,SUCCESS
161,TASK7999,NODE139,2020-12-23 00:00:00,3,TYPE2,TASK1,SUCCESS
162,TASK7908,NODE26,2020-12-14 00:00:00,18,TYPE5,TASK6,SUCCESS
163,TASK6809,NODE452,2020-12-20 00:00:00,13,TYPE4,TASK5,SUCCESS
164,TASK6409,NODE446,2020-12-18 00:00:00,8,TYPE5,TASK3,SUCCESS
165,TASK6080,NODE380,2020-12-25 00:00:00,6,TYPE3,TASK7,SUCCESS
166,TASK5988,NODE375,2020-12-16 00:00:00,20,TYPE3,TASK1,SUCCESS
167,TASK5564,NODE105,2020-12-15 00:00:00,13,TYPE5,TASK4,SUCCESS
168,TASK5524,NODE418,2020-12-14 00:00:00,3,TYPE1,TASK5,SUCCESS
169,TASK477,NODE203,2020-12-25 00:00:00,18,TYPE2,TASK4,SUCCESS
170,TASK3574,NODE139,2020-12-20 00:00:00,9,TYPE3,TASK5,SUCCESS
171,TASK2360,NODE341,2020-12-24 00:00:00,11,TYPE3,TASK4,SUCCESS
172,TASK226,NODE425,2020-12-18 00:00:00,5,TYPE3,TASK5,SUCCESS
173,TASK2232,NODE313,2020-12-16 00:00:00,12,TYPE5,TASK2,SUCCESS
174,TASK9541,NODE250,2020-12-20 00:00:00,4,TYPE2,TASK4,SUCCESS
175,TASK8939,NODE106,2020-12-24 00:00:00,6,TYPE4,TASK3,SUCCESS
176,TASK8666,NODE220,2020-12-18 00:00:00,8,TYPE5,TASK8,SUCCESS
177,TASK8531,NODE257,2020-12-16 00:00:00,12,TYPE1,TASK7,SUCCESS
178,TASK8291,NODE76,2020-12-23 00:00:00,13,TYPE5,TASK8,SUCCESS
179,TASK7585,NODE88,2020-12-17 00:00:00,6,TYPE1,TASK4,SUCCESS
180,TASK6964,NODE148,2020-12-21 00:00:00,6,TYPE3,TASK6,SUCCESS
181,TASK6441,NODE201,2020-12-10 00:00:00,20,TYPE2,TASK2,SUCCESS
182,TASK5969,NODE438,2020-12-21 00:00:00,1,TYPE3,TASK5,SUCCESS
183,TASK576,NODE358,2020-12-22 00:00:00,6,TYPE3,TASK6,SUCCESS
184,TASK5683,NODE410,2020-12-21 00:00:00,13,TYPE1,TASK1,SUCCESS
185,TASK5326,NODE261,2020-12-21 00:00:00,17,TYPE1,TASK9,SUCCESS
186,TASK4758,NODE448,2020-12-12 00:00:00,16,TYPE5,TASK2,SUCCESS
187,TASK4645,NODE356,2020-12-21 00:00:00,8,TYPE1,TASK7,SUCCESS
188,TASK4454,NODE342,2020-12-18 00:00:00,20,TYPE2,TASK4,SUCCESS
189,TASK443,NODE219,2020-12-14 00:00:00,5,TYPE1,TASK8,SUCCESS
190,TASK3590,NODE150,2020-12-24 00:00:00,19,TYPE5,TASK4,SUCCESS
191,TASK3421,NODE451,2020-12-22 00:00:00,17,TYPE3,TASK9,SUCCESS
192,TASK3331,NODE111,2020-12-14 00:00:00,19,TYPE3,TASK2,SUCCESS
193,TASK3036,NODE432,2020-12-16 00:00:00,3,TYPE1,TASK2,SUCCESS
194,TASK2726,NODE166,2020-12-23 00:00:00,9,TYPE2,TASK9,SUCCESS
195,TASK2664,NODE418,2020-12-21 00:00:00,19,TYPE5,TASK6,SUCCESS
196,TASK1064,NODE215,2020-12-18 00:00:00,18,TYPE2,TASK1,SUCCESS
197,TASK9633,NODE131,2020-12-15 00:00:00,12,TYPE3,TASK6,SUCCESS
198,TASK9298,NODE238,2020-12-11 00:00:00,13,TYPE5,TASK2,SUCCESS
199,TASK9174,NODE280,2020-12-17 00:00:00,7,TYPE1,TASK5,SUCCESS
200,TASK9092,NODE397,2020-12-19 00:00:00,14,TYPE1,TASK2,SUCCESS
201,TASK8672,NODE160,2020-12-18 00:00:00,11,TYPE2,TASK5,SUCCESS
202,TASK8419,NODE178,2020-12-24 00:00:00,14,TYPE2,TASK6,SUCCESS
203,TASK8279,NODE51,2020-12-14 00:00:00,11,TYPE3,TASK6,SUCCESS
204,TASK8063,NODE454,2020-12-06 00:00:00,14,TYPE4,TASK1,SUCCESS
205,TASK7970,NODE467,2020-12-24 00:00:00,9,TYPE3,TASK8,SUCCESS
206,TASK7932,NODE202,2020-12-10 00:00:00,18,TYPE5,TASK6,SUCCESS
207,TASK7785,NODE356,2020-12-21 00:00:00,12,TYPE3,TASK4,SUCCESS
208,TASK7215,NODE421,2020-12-14 00:00:00,4,TYPE5,TASK9,SUCCESS
209,TASK655,NODE387,2020-12-24 00:00:00,12,TYPE4,TASK3,SUCCESS
210,TASK6472,NODE65,2020-12-04 00:00:00,6,TYPE2,TASK8,SUCCESS
211,TASK6336,NODE237,2020-12-15 00:00:00,2,TYPE1,TASK2,SUCCESS
212,TASK6198,NODE497,2020-12-24 00:00:00,1,TYPE4,TASK1,SUCCESS
213,TASK5981,NODE40,2020-12-10 00:00:00,17,TYPE1,TASK2,SUCCESS
214,TASK5864,NODE253,2020-12-18 00:00:00,17,TYPE4,TASK3,SUCCESS
215,TASK5622,NODE142,2020-12-24 00:00:00,2,TYPE3,TASK4,SUCCESS
216,TASK501,NODE264,2020-12-21 00:00:00,17,TYPE4,TASK1,SUCCESS
217,TASK5009,NODE252,2020-12-25 00:00:00,4,TYPE2,TASK4,SUCCESS
218,TASK489,NODE55,2020-12-12 00:00:00,0,TYPE1,TASK6,SUCCESS
219,TASK4733,NODE339,2020-12-13 00:00:00,8,TYPE3,TASK1,SUCCESS
220,TASK4443,NODE54,2020-12-22 00:00:00,19,TYPE4,TASK9,SUCCESS
221,TASK4411,NODE472,2020-12-14 00:00:00,18,TYPE4,TASK9,SUCCESS
222,TASK4180,NODE447,2020-12-11 00:00:00,12,TYPE2,TASK2,SUCCESS
223,TASK363,NODE191,2020-12-19 00:00:00,15,TYPE2,TASK4,SUCCESS
224,TASK2206,NODE292,2020-12-15 00:00:00,10,TYPE1,TASK3,SUCCESS
225,TASK1969,NODE11,2020-12-06 00:00:00,7,TYPE2,TASK7,SUCCESS
226,TASK1937,NODE83,2020-12-15 00:00:00,20,TYPE3,TASK8,SUCCESS
227,TASK1701,NODE474,2020-12-14 00:00:00,0,TYPE5,TASK3,SUCCESS
228,TASK1671,NODE127,2020-12-10 00:00:00,14,TYPE1,TASK2,SUCCESS
229,TASK1467,NODE227,2020-12-17 00:00:00,8,TYPE1,TASK3,SUCCESS
230,TASK121,NODE200,2020-12-09 00:00:00,5,TYPE4,TASK7,SUCCESS
231,TASK1057,NODE186,2020-12-23 00:00:00,2,TYPE1,TASK1,SUCCESS
232,TASK9020,NODE186,2020-12-15 00:00:00,15,TYPE3,TASK4,SUCCESS
233,TASK7963,NODE474,2020-12-24 00:00:00,13,TYPE1,TASK3,SUCCESS
234,TASK6644,NODE168,2020-12-23 00:00:00,10,TYPE4,TASK2,SUCCESS
235,TASK657,NODE400,2020-12-21 00:00:00,3,TYPE5,TASK9,SUCCESS
236,TASK6160,NODE118,2020-12-17 00:00:00,8,TYPE1,TASK4,SUCCESS
237,TASK613,NODE225,2020-12-15 00:00:00,8,TYPE2,TASK7,SUCCESS
238,TASK6006,NODE491,2020-12-04 00:00:00,16,TYPE1,TASK8,SUCCESS
239,TASK5751,NODE74,2020-12-22 00:00:00,19,TYPE1,TASK5,SUCCESS
240,TASK5472,NODE50,2020-12-06 00:00:00,9,TYPE3,TASK7,SUCCESS
241,TASK4023,NODE278,2020-12-20 00:00:00,1,TYPE3,TASK4,SUCCESS
242,TASK3167,NODE167,2020-12-20 00:00:00,5,TYPE5,TASK3,SUCCESS
243,TASK3049,NODE373,2020-12-13 00:00:00,12,TYPE2,TASK2,SUCCESS
244,TASK1728,NODE349,2020-12-20 00:00:00,19,TYPE2,TASK1,SUCCESS
245,TASK1470,NODE318,2020-12-02 00:00:00,17,TYPE3,TASK7,SUCCESS
246,TASK1257,NODE167,2020-12-19 00:00:00,3,TYPE2,TASK1,SUCCESS
247,TASK1133,NODE464,2020-12-04 00:00:00,16,TYPE5,TASK7,SUCCESS
248,TASK1028,NODE140,2020-12-05 00:00:00,16,TYPE2,TASK3,SUCCESS
249,TASK1014,NODE277,2020-12-25 00:00:00,5,TYPE3,TASK9,SUCCESS
250,TASK9732,NODE118,2020-12-24 00:00:00,12,TYPE3,TASK2,SUCCESS
251,TASK8903,NODE6,2020-12-18 00:00:00,8,TYPE5,TASK1,SUCCESS
252,TASK8832,NODE251,2020-12-23 00:00:00,6,TYPE5,TASK4,SUCCESS
253,TASK8757,NODE493,2020-12-11 00:00:00,18,TYPE4,TASK7,SUCCESS
254,TASK8365,NODE414,2020-12-10 00:00:00,18,TYPE1,TASK9,SUCCESS
255,TASK8354,NODE81,2020-12-25 00:00:00,15,TYPE5,TASK4,SUCCESS
256,TASK8309,NODE257,2020-12-19 00:00:00,7,TYPE1,TASK2,SUCCESS
257,TASK635,NODE314,2020-12-17 00:00:00,13,TYPE5,TASK5,SUCCESS
258,TASK5938,NODE176,2020-12-22 00:00:00,9,TYPE3,TASK2,SUCCESS
259,TASK52,NODE266,2020-12-19 00:00:00,10,TYPE5,TASK8,SUCCESS
260,TASK4993,NODE102,2020-12-19 00:00:00,19,TYPE1,TASK2,SUCCESS
261,TASK4659,NODE268,2020-12-18 00:00:00,8,TYPE1,TASK4,SUCCESS
262,TASK3654,NODE360,2020-12-25 00:00:00,18,TYPE1,TASK2,SUCCESS
263,TASK3581,NODE169,2020-12-24 00:00:00,19,TYPE3,TASK8,SUCCESS
264,TASK324,NODE477,2020-12-18 00:00:00,8,TYPE2,TASK3,SUCCESS
265,TASK3103,NODE119,2020-12-13 00:00:00,4,TYPE5,TASK7,SUCCESS
266,TASK2884,NODE212,2020-12-06 00:00:00,18,TYPE5,TASK7,SUCCESS
267,TASK2003,NODE382,2020-12-25 00:00:00,2,TYPE3,TASK5,SUCCESS
268,TASK1820,NODE29,2020-12-18 00:00:00,1,TYPE3,TASK5,SUCCESS
269,TASK1753,NODE33,2020-12-21 00:00:00,2,TYPE2,TASK9,SUCCESS
270,TASK1282,NODE34,2020-12-18 00:00:00,9,TYPE3,TASK9,SUCCESS
271,TASK1182,NODE53,2020-12-21 00:00:00,12,TYPE5,TASK4,SUCCESS
272,TASK9903,NODE219,2020-12-16 00:00:00,5,TYPE1,TASK9,SUCCESS
273,TASK9033,NODE87,2020-12-13 00:00:00,9,TYPE4,TASK3,SUCCESS
274,TASK882,NODE258,2020-12-10 00:00:00,17,TYPE1,TASK5,SUCCESS
275,TASK8802,NODE144,2020-12-18 00:00:00,9,TYPE4,TASK8,SUCCESS
276,TASK8715,NODE494,2020-12-18 00:00:00,9,TYPE4,TASK4,SUCCESS
277,TASK8508,NODE355,2020-12-24 00:00:00,20,TYPE5,TASK8,SUCCESS
278,TASK8273,NODE119,2020-12-20 00:00:00,1,TYPE4,TASK2,SUCCESS
279,TASK8169,NODE470,2020-12-17 00:00:00,9,TYPE1,TASK9,SUCCESS
280,TASK8034,NODE287,2020-12-24 00:00:00,5,TYPE1,TASK5,SUCCESS
281,TASK7880,NODE89,2020-12-22 00:00:00,10,TYPE5,TASK3,SUCCESS
282,TASK6897,NODE405,2020-12-22 00:00:00,13,TYPE2,TASK4,SUCCESS
283,TASK6797,NODE239,2020-12-18 00:00:00,7,TYPE3,TASK2,SUCCESS
284,TASK6557,NODE219,2020-12-19 00:00:00,8,TYPE4,TASK1,SUCCESS
285,TASK6416,NODE241,2020-12-24 00:00:00,19,TYPE2,TASK7,SUCCESS
286,TASK6386,NODE380,2020-12-21 00:00:00,14,TYPE4,TASK4,SUCCESS
287,TASK6231,NODE396,2020-12-24 00:00:00,8,TYPE3,TASK7,SUCCESS
288,TASK6225,NODE175,2020-12-10 00:00:00,18,TYPE2,TASK9,SUCCESS
289,TASK5951,NODE143,2020-12-22 00:00:00,1,TYPE1,TASK7,SUCCESS
290,TASK5629,NODE81,2020-12-19 00:00:00,6,TYPE2,TASK2,SUCCESS
291,TASK525,NODE120,2020-12-22 00:00:00,0,TYPE4,TASK1,SUCCESS
292,TASK4053,NODE26,2020-12-13 00:00:00,2,TYPE1,TASK8,SUCCESS
293,TASK3990,NODE326,2020-12-25 00:00:00,15,TYPE1,TASK2,SUCCESS
294,TASK3402,NODE170,2020-12-09 00:00:00,16,TYPE2,TASK7,SUCCESS
295,TASK3330,NODE173,2020-11-23 00:00:00,9,TYPE2,TASK7,SUCCESS
296,TASK2467,NODE292,2020-12-19 00:00:00,7,TYPE4,TASK3,SUCCESS
297,TASK2391,NODE497,2020-12-25 00:00:00,19,TYPE3,TASK5,SUCCESS
298,TASK1985,NODE94,2020-12-18 00:00:00,5,TYPE4,TASK9,SUCCESS
299,TASK1606,NODE111,2020-12-24 00:00:00,11,TYPE5,TASK4,SUCCESS
300,TASK1309,NODE94,2020-12-21 00:00:00,6,TYPE5,TASK9,SUCCESS
301,TASK1164,NODE263,2020-12-13 00:00:00,13,TYPE2,TASK7,SUCCESS
302,TASK1159,NODE240,2020-12-19 00:00:00,1,TYPE5,TASK8,SUCCESS
